S.No.,Name,Symbol,Sector
216,Raymond James Inc,RJF,Financials
217,Invitation Homes Inc,INVH,Real Estate
218,Fleetcor Technologies Inc,FLT,Financials
219,Clorox,CLX,Consumer Staples
220,Teledyne Technologies Inc,TDY,Information Technology
221,Targa Resources Corp,TRGP,Energy
222,Darden Restaurants Inc,DRI,Consumer Discretionary
223,Laboratory Corporation Of America,LH,Health Care
224,Hologic Inc,HOLX,Health Care
225,Verisign Inc,VRSN,Information Technology
226,Molina Healthcare Inc,MOH,Health Care
227,Southwest Airlines,LUV,Industrials
228,Alexandria Real Estate Equities Re,ARE,Real Estate
229,Cooper Inc,COO,Health Care
230,Pultegroup Inc,PHM,Consumer Discretionary
231,Howmet Aerospace Inc,HWM,Industrials
232,Regions Financial Corp,RF,Financials
233,Centerpoint Energy Inc,CNP,Utilities
234,Iron Mountain Inc,IRM,Real Estate
235,Las Vegas Sands Corp,LVS,Consumer Discretionary
236,Fifth Third Bancorp,FITB,Financials
237,Expeditors International Of Washin,EXPD,Industrials
238,Ventas Reit Inc,VTR,Real Estate
239,Principal Financial Group Inc,PFG,Financials
240,Brown & Brown Inc,BRO,Financials
241,Jacobs Solutions Inc,J,Industrials
242,Idex Corp,IEX,Industrials
243,Bunge Ltd,BG,Consumer Staples
244,Atmos Energy Corp,ATO,Utilities
245,Factset Research Systems Inc,FDS,Financials
246,Cms Energy Corp,CMS,Utilities
247,International Flavors & Fragrances,IFF,Materials
248,Skyworks Solutions Inc,SWKS,Information Technology
249,Netapp Inc,NTAP,Information Technology
250,Steel Dynamics Inc,STLD,Materials
251,United Airlines Holdings Inc,UAL,Industrials
252,Omnicom Group Inc,OMC,Communication
253,Teradyne Inc,TER,Information Technology
254,Jb Hunt Transport Services Inc,JBHT,Industrials
255,Marathon Oil Corp,MRO,Energy
256,Tyler Technologies Inc,TYL,Information Technology
257,Huntington Bancshares Inc,HBAN,Financials
258,Kellogg,K,Consumer Staples
259,Garmin Ltd,GRMN,Consumer Discretionary
260,Cboe Global Markets Inc,CBOE,Financials
261,Northern Trust Corp,NTRS,Financials
262,Tyson Foods Inc,TSN,Consumer Staples
263,Akamai Technologies Inc,AKAM,Information Technology
264,Everest Group Ltd,EG,Financials
265,Essex Property Trust Reit Inc,ESS,Real Estate
266,Eqt Corp,EQT,Energy
267,Textron Inc,TXT,Industrials
268,Expedia Group Inc,EXPE,Consumer Discretionary
269,Jm Smucker,SJM,Consumer Staples
270,Ptc Inc,PTC,Information Technology
271,Quest Diagnostics Inc,DGX,Health Care
272,Avery Dennison Corp,AVY,Materials
273,Revvity Inc,RVTY,Health Care
274,Best Buy Co Inc,BBY,Consumer Discretionary
275,Cf Industries Holdings Inc,CF,Materials
276,Conagra Brands Inc,CAG,Consumer Staples
277,Epam Systems Inc,EPAM,Information Technology
278,Amcor Plc,AMCR,Materials
279,Lamb Weston Holdings Inc,LW,Consumer Staples
280,Paycom Software Inc,PAYC,Industrials
281,Axon Enterprise Inc,AXON,Industrials
282,Synchrony Financial,SYF,Financials
283,Stanley Black & Decker Inc,SWK,Industrials
284,Zebra Technologies Corp,ZBRA,Information Technology
285,Packaging Corp Of America,PKG,Materials
286,Citizens Financial Group Inc,CFG,Financials
287,Leidos Holdings Inc,LDOS,Industrials
288,Viatris Inc,VTRS,Health Care
289,Insulet Corp,PODD,Health Care
290,Lkq Corp,LKQ,Consumer Discretionary
291,Apa Corp,APA,Energy
292,Evergy Inc,EVRG,Utilities
293,Trimble Inc,TRMB,Information Technology
294,Mgm Resorts International,MGM,Consumer Discretionary
295,Nordson Corp,NDSN,Industrials
296,Western Digital Corp,WDC,Information Technology
297,Masco Corp,MAS,Industrials
298,Alliant Energy Corp,LNT,Utilities
299,Interpublic Group Of Companies Inc,IPG,Communication
300,Match Group Inc,MTCH,Communication
301,Seagate Technology Holdings Plc,STX,Information Technology
302,Carmax Inc,KMX,Consumer Discretionary
303,Bio Techne Corp,TECH,Health Care
304,Wr Berkley Corp,WRB,Financials
305,Brown Forman Corp,BFB,Consumer Staples
306,Live Nation Entertainment Inc,LYV,Communication
307,Udr Reit Inc,UDR,Real Estate
308,Aes Corp,AES,Utilities
309,Celanese Corp,CE,Materials
310,Incyte Corp,INCY,Health Care
311,Loews Corp,L,Financials
312,Molson Coors Brewing,TAP,Consumer Staples
313,Gen Digital Inc,GEN,Information Technology
314,Camden Property Trust Reit,CPT,Real Estate
315,Kimco Realty Reit Corp,KIM,Real Estate
316,Jack Henry And Associates Inc,JKHY,Financials
317,Hormel Foods Corp,HRL,Consumer Staples
318,Host Hotels & Resorts Reit Inc,HST,Real Estate
319,Fmc Corp,FMC,Materials
320,Caesars Entertainment Inc,CZR,Consumer Discretionary
321,Healthpeak Properties Inc,PEAK,Real Estate
322,Ceridian Hcm Holding Inc,CDAY,Industrials
323,Pentair,PNR,Industrials
324,Nisource Inc,NI,Utilities
325,Ch Robinson Worldwide Inc,CHRW,Industrials
326,Henry Schein Inc,HSIC,Health Care
327,Charles River Laboratories Interna,CRL,Health Care
328,Regency Centers Reit Corp,REG,Real Estate
329,Qorvo Inc,QRVO,Information Technology
330,Teleflex Inc,TFX,Health Care
331,Keycorp,KEY,Financials
332,Globe Life Inc,GL,Financials
333,Eastman Chemical,EMN,Materials
334,Wynn Resorts Ltd,WYNN,Consumer Discretionary
335,Allegion Plc,ALLE,Industrials
336,American Airlines Group Inc,AAL,Industrials
337,Borgwarner Inc,BWA,Consumer Discretionary
338,Marketaxess Holdings Inc,MKTX,Financials
339,Rollins Inc,ROL,Industrials
340,Juniper Networks Inc,JNPR,Information Technology
341,Pinnacle West Corp,PNW,Utilities
342,Etsy Inc,ETSY,Consumer Discretionary
343,Builders FirstSource Inc,BLDR,Building materials Manufacturing
344,Fox Corp,FOXA,Communication
345,A O Smith Corp,AOS,Industrials
346,Hasbro Inc,HAS,Consumer Discretionary
347,Huntington Ingalls Industries Inc,HII,Industrials
348,Nrg Energy Inc,NRG,Utilities
349,Campbell Soup,CPB,Consumer Staples
350,Universal Health Services Inc,UHS,Health Care
351,Bio Rad Laboratories Inc,BIO,Health Care
352,Westrock,WRK,Materials
353,Robert Half,RHI,Industrials
354,Catalent Inc,CTLT,Health Care
355,Dentsply Sirona Inc,XRAY,Health Care
356,Bath And Body Works Inc,BBWI,Consumer Discretionary
357,Paramount Global,PARA,Communication
358,Whirlpool Corp,WHR,Consumer Discretionary
359,Franklin Resources Inc,BEN,Financials
360,Assurant Inc,AIZ,Financials
361,Norwegian Cruise Line Holdings Ltd,NCLH,Consumer Discretionary
362,Generac Holdings Inc,GNRC,Industrials
363,Federal Realty Investment Trust Re,FRT,Real Estate
364,Invesco Ltd,IVZ,Financials
365,Comerica Inc,CMA,Financials
366,Davita Inc,DVA,Health Care
367,Jabil Inc,JBL,Electronics Manufacturing
368,Zions Bancorporation,ZION,Financials
369,Uber Technologies Inc,UBER,Mobile Transportation
370,Mohawk Industries Inc,MHK,Consumer Discretionary
371,Ralph Lauren Corp,RL,Consumer Discretionary
372,Veralto,VLTO,Industrials
373,Blackstone Inc,BX,Financials
